chrX	0	9999
chrX	44821	94820
chrX	133871	222345
chrX	226276	226350
chrX	1949345	2132993
chrX	2137388	2137487
chrX	37099262	37285836
chrX	49348394	49528393
chrX	50228964	50278963
chrX	58555579	58605578
chrX	58736186	58736285
chrX	58804505	58804604
chrX	58988881	58988980
chrX	59064833	59064932
chrX	59477728	59477827
chrX	59487434	59487533
chrX	59532975	59533074
chrX	60550108	60550207
chrX	61173171	61173270
chrX	61212316	61212415
chrX	62068000	62068099
chrX	62107293	62107392
chrX	62412542	62462541
chrX	114281198	114331197
chrX	115738949	115838948
chrX	116557779	116595565
chrX	120879381	120929380
chrX	144425606	144475605
