chr5	0	9999
chr5	17530548	17580547
chr5	46435900	46485899
chr5	46527027	46527126
chr5	46546426	46546525
chr5	46553015	46553114
chr5	46563966	46564065
chr5	46569062	46569161
chr5	46624328	46624427
chr5	46796725	46796824
chr5	47032722	47032821
chr5	47061288	47061387
chr5	47069162	47073729
chr5	47078603	47078719
chr5	47079733	47082079
chr5	47106894	47106993
chr5	47153339	47153438
chr5	47296069	47296168
chr5	47300585	47306085
chr5	47309084	49591468
chr5	49592920	49599322
chr5	49600986	49601085
chr5	49603131	49609713
chr5	49611721	49612095
chr5	49618994	49621604
chr5	49628165	49630728
chr5	49633793	49641814
chr5	49646823	49646922
chr5	49650573	49656260
chr5	49661871	49666172
chr5	49667431	49667530
chr5	49721203	49721302
chr5	50059807	50109806
chr5	139452659	139453658
chr5	155760324	155761323
